video_id,track_id,event_frame,timestamp_sec,timestamp_mmss,half,ball_displacement_px,head_displacement_px,trajectory_change_deg,header_confidence,attribution_confidence,attribution_confidence_label,ambiguous
Header_h74,14661,110,1.833,00:02,first,,5.60658541360062,,0.5814,0.8657,high,False
Header_h74,14669,131,2.183,00:02,first,23.60835657134986,2.394368392708136,0.0,0.6103,0.8735,high,False
Header_h76,14962,173,2.883,00:03,first,7.240621520284065,3.109421167998956,0.0,0.6785,0.9494,high,False
Header_h76,14979,204,3.4,00:03,first,9.15128406290612,9.835252919981274,0.0,0.7033,0.9749,high,False
Header_h76,14979,213,3.55,00:04,first,165.92224504267057,11.87308300316299,141.75,0.6873,1.0,high,False
Header_h77,15149,75,1.25,00:01,first,4.75798276583683,,52.43,0.6384,0.9788,high,False
Header_h80,15838,211,3.517,00:04,first,15.08785604385194,7.692366345930158,0.0,0.7824,0.8959,high,False
Header_h81,15914,15,0.25,00:00,first,10.28142013537046,13.2080051483939,27.83,0.5684,1.0,high,False
Header_h81,16038,258,4.3,00:04,first,4.572231402717823,5.516130890397716,3.36,0.7138,0.9383,high,False
Header_h81,16049,179,2.983,00:03,first,3.8608289265390043,2.9406971962444812,0.15,0.7045,0.8843,high,False
Header_h83,16337,56,0.933,00:01,first,8.119390371203906,15.170606447996748,33.26,0.6499,0.0125,low,True
Header_h84,16479,150,2.5,00:02,first,39.93200846438858,5.890746981495635,13.97,0.7273,0.8829,high,False
Header_h86,16969,197,3.283,00:03,first,4.850773134253923,0.9679876032262821,107.13,0.7965,0.9013,high,False
Header_h88,17245,47,0.783,00:01,first,76.80162758692018,,178.81,0.591,0.8794,high,False
Header_h88,17263,60,1.0,00:01,first,30.154197054473286,2.4748737341529568,106.42,0.7535,0.939,high,False
Header_h88,17391,288,4.8,00:05,first,11.728188265883173,6.344359699764789,0.03,0.6357,0.8612,high,False
Header_h88,17392,281,4.683,00:05,first,11.728188265883208,,0.0,0.6395,0.8359,high,False
Header_h91,17727,93,1.55,00:02,first,6.280509533469383,3.674833329553874,139.34,0.8855,0.9368,high,False
Header_h94,18084,74,1.233,00:01,first,7.188080411347655,5.490036429751637,173.26,0.843,0.9119,high,False
Header_h94,18084,145,2.417,00:02,first,2.804710323723336,2.9801510028854965,120.79,0.847,0.8408,high,False
Header_h94,18084,197,3.283,00:03,first,4.268219769412049,0.24083189157585344,87.65,0.8081,0.7961,high,False
Header_h94,18139,226,3.767,00:04,first,6.001666435249443,8.275608738938825,0.0,0.6013,0.9027,high,False
Header_h97,18474,211,3.517,00:04,first,13.441904626949281,8.076831061746923,0.0,0.6386,0.8377,high,False
Header_h97,18554,247,4.117,00:04,first,6.115791036325483,14.499299983102626,101.06,0.7387,0.9749,high,False
Header_h99,18705,179,2.983,00:03,first,8.493415096414294,2.4845321491178356,0.05,0.7794,0.9341,high,False
Header_h99,18709,200,3.333,00:03,first,15.871562619981633,8.01358845961033,3.24,0.5801,0.8289,high,False
Header_h99,18709,206,3.433,00:03,first,15.987160473329768,,0.0,0.6145,0.9477,high,False
Header_h99,18721,236,3.933,00:04,first,17.547951447391164,3.2726289126633423,0.78,0.5729,0.9661,high,False
Header_h99,18721,243,4.05,00:04,first,17.561822228914643,,0.0,0.6131,0.9722,high,False
Non_Header_h102,19598,455,7.583,00:08,first,1.230650234632083,0.24758836806277582,113.94,0.7656,0.7714,high,False
Non_Header_h102,19719,525,8.75,00:09,first,15.237060083887545,43.022424385429524,99.39,0.7724,0.8684,high,False
Non_Header_h102,19719,539,8.983,00:09,first,6.533949800847937,1.2998846102637276,,0.6866,0.8894,high,False
Non_Header_h20,21489,219,3.65,00:04,first,1.0242070103255383,,0.55,0.5799,1.0,high,False
Non_Header_h3,23181,455,7.583,00:08,first,7.404302803100435,0.531507290636694,0.07,0.7839,0.8741,high,False
Non_Header_h37,24949,556,9.267,00:09,first,0.009999999999990905,66.9380190922916,,0.5885,0.9378,high,False
Non_Header_h47,27140,403,6.717,00:07,first,,14.481619384585407,,0.7248,0.9651,high,False
Non_Header_h47,27140,444,7.4,00:07,first,8.006428667015042,2.540255892621832,148.61,0.7511,0.933,high,False
Non_Header_h5,27805,59,0.983,00:01,first,3.3416762260877326,1.4446106741956546,,0.6934,0.9005,high,False
Non_Header_h53,29111,391,6.517,00:07,first,1.033150521463431,15.96452316857604,0.74,0.6031,0.8549,high,False
Non_Header_h57,30164,18,0.3,00:00,first,11.811964273565984,3.936000508130151,0.0,0.7665,0.9167,high,False
Non_Header_h59,30500,169,2.817,00:03,first,1.8223611058183513,5.82385611085978,,0.5681,0.8834,high,False
Non_Header_h6,30909,136,2.267,00:02,first,1.5420765220960617,0.14560219778558725,,0.774,1.0,high,False
Non_Header_h7,33601,478,7.967,00:08,first,7.913286295844482,1.5953056133543169,0.06,0.7976,0.8632,high,False
Non_Header_h70,33871,509,8.483,00:08,first,17.30960715903168,1.5868522300453258,6.32,0.6695,0.9192,high,False
Non_Header_h70,33939,529,8.817,00:09,first,10.151108313873888,14.977449716156606,0.59,0.6119,0.9323,high,False
Non_Header_h71,34004,64,1.067,00:01,first,10.982317606042933,27.643995731442352,0.0,0.6269,1.0,high,False
Non_Header_h71,34004,70,1.167,00:01,first,10.982317606042933,22.966290514578112,,0.7184,1.0,high,False
